,date,symbol,open,high,low,close,Volume USD,Volume BTC
2254,2021-04-12 00:00:00,BTC/USD,60033.0,61338.0,59492.0,59874.0,329182773.1386023,5497.92519522
2255,2021-04-13 00:00:00,BTC/USD,59887.0,63555.0,59859.0,63537.0,715801692.4659835,11265.90321334
2256,2021-04-14 00:00:00,BTC/USD,63519.0,64829.0,61306.0,62914.0,687494760.615005,10927.53219657
2257,2021-04-15 00:00:00,BTC/USD,62909.0,63845.0,62000.0,63196.0,417968786.4600419,6613.84876353
2258,2021-04-16 00:00:00,BTC/USD,63208.0,63520.0,60005.0,61322.0,707579815.2321239,11538.75958436
2259,2021-04-17 00:00:00,BTC/USD,61321.0,62450.0,59662.0,59927.0,420714515.6074975,7020.45014113
2260,2021-04-18 00:00:00,BTC/USD,59945.0,60279.0,50500.0,56172.0,1478738657.644082,26325.19151257
2261,2021-04-19 00:00:00,BTC/USD,56171.0,57500.0,54256.0,55630.0,476680134.2823852,8568.76027831
2262,2021-04-20 00:00:00,BTC/USD,55619.0,57099.0,53337.0,56471.151714,473916857.4859248,8392.19394508
2263,2021-04-21 00:00:00,BTC/USD,56471.151714,56790.0,53609.0,53780.0,382244974.63378537,7107.56739743
2264,2021-04-22 00:00:00,BTC/USD,53779.81497994,55500.0,50575.0,51735.13722852,656368496.2390275,12687.09297783
2265,2021-04-23 00:00:00,BTC/USD,51741.0,52131.0,47560.0,51138.0,882146443.3551143,17250.31177119
2266,2021-04-24 00:00:00,BTC/USD,51138.0,51201.0,48852.0,50161.0,299974988.92204833,5980.24339471
2267,2021-04-25 00:00:00,BTC/USD,50149.0,50671.0,47112.0,49129.0,471595374.4327399,9599.12423279
2268,2021-04-26 00:00:00,BTC/USD,49129.093002,54387.0,48831.0,54102.0,595712916.7656952,11010.92227211
2269,2021-04-27 00:00:00,BTC/USD,54094.0,55437.0,53304.0,55044.0,398338567.11354417,7236.73001805
2270,2021-04-28 00:00:00,BTC/USD,55039.0,56432.0,53917.0,54859.0,316165573.3161011,5763.23982056
2271,2021-04-29 00:00:00,BTC/USD,54860.0,55222.0,52377.0,53566.0,379148685.36032885,7078.15938021
2272,2021-04-30 00:00:00,BTC/USD,53566.0,57794.0,53068.0,57630.0,453141192.4157058,7862.93930966
2273,2021-05-01 00:00:00,BTC/USD,57632.0,58326.0,57000.0,57774.0,249433660.5056528,4317.40333897
2274,2021-05-02 00:00:00,BTC/USD,57774.0,57900.0,56050.0,56605.0,237549605.0048964,4196.61876168
2275,2021-05-03 00:00:00,BTC/USD,56601.0,58945.0,56511.0,57147.0,435833391.6879285,7626.53143101
2276,2021-05-04 00:00:00,BTC/USD,57141.0,57166.0,53067.0,53251.0,535957374.9745205,10064.7382204
2277,2021-05-05 00:00:00,BTC/USD,53251.0,57898.0,52960.0,57487.0,440632223.6907535,7664.90204204
2278,2021-05-06 00:00:00,BTC/USD,57486.600444,58343.0,55282.0,56450.0,589263535.21311,10438.6808718
2279,2021-05-07 00:00:00,BTC/USD,56451.0,58635.0,55300.0,57349.0,397683498.91317767,6934.44521985
2280,2021-05-08 00:00:00,BTC/USD,57342.0,59450.0,56939.0,58897.0,448143802.7599005,7608.94107951
2281,2021-05-09 00:00:00,BTC/USD,58892.0,59236.51695169,56255.0,58276.0,494158905.5056742,8479.62978766
2282,2021-05-10 00:00:00,BTC/USD,58286.86932662,59589.77113765,53844.0,55829.62510011,753116633.3447453,13489.55204328
2283,2021-05-11 00:00:00,BTC/USD,55831.0,56870.0,54138.73738416,56721.504604,436123689.3580287,7688.85967329
2284,2021-05-12 00:00:00,BTC/USD,56717.0,58000.0,48611.0,49614.0,742922181.8283224,14974.04325046
2285,2021-05-13 00:00:00,BTC/USD,49580.54694147,51333.0,46601.04807999,49750.64971553,1052949509.272393,21164.53785615
2286,2021-05-14 00:00:00,BTC/USD,49749.0,51512.0,48877.0,49924.0,301933643.3691421,6047.86562313
2287,2021-05-15 00:00:00,BTC/USD,49923.30794743,50737.0,46644.0,46844.0,444485398.36156064,9488.63031256
2288,2021-05-16 00:00:00,BTC/USD,46844.0,49870.0,44021.0,46597.0,888545755.1666024,19068.73307652
2289,2021-05-17 00:00:00,BTC/USD,46587.61320955,46796.0,42128.0,43534.0,1642284137.503265,37724.17277308
2290,2021-05-18 00:00:00,BTC/USD,43540.0,45800.0,42316.0,42900.0,459984729.098037,10722.25475753
2291,2021-05-19 00:00:00,BTC/USD,42898.48904022,43600.0,29563.0,36733.0,2491338721.602182,67822.90369973
2292,2021-05-20 00:00:00,BTC/USD,36733.7221572,42300.0,34985.0,40561.45427722,1038769545.474666,25609.77075366
2293,2021-05-21 00:00:00,BTC/USD,40590.0,42298.12038263,33552.0,37391.38484175,871746738.5953801,23314.10677312
2294,2021-05-22 00:00:00,BTC/USD,37382.8588411,38956.0,35372.0,37557.0,509305365.50920063,13560.86390045
2295,2021-05-23 00:00:00,BTC/USD,37575.0,38384.0,31230.0,34747.0,903202496.8617572,25993.68281756
2296,2021-05-24 00:00:00,BTC/USD,34747.0,39966.0,34500.0,38845.0,587729115.1685696,15130.10979968
2297,2021-05-25 00:00:00,BTC/USD,38851.0,39829.42639126,36455.0,38396.84796617,298232109.22033405,7767.09873381
2298,2021-05-26 00:00:00,BTC/USD,38374.0,40884.0,37851.57741397,39301.0,338383535.2970385,8610.0489885
2299,2021-05-27 00:00:00,BTC/USD,39303.0,40500.0,37221.0,38537.0,214013388.79483908,5553.45223538
2300,2021-05-28 00:00:00,BTC/USD,38537.03617907,38889.0,34721.0,35661.0,364435569.89133006,10219.44336646
2301,2021-05-29 00:00:00,BTC/USD,35660.87052767,37381.0,33617.0,34574.0,268442774.8740125,7764.29614375
2302,2021-05-30 00:00:00,BTC/USD,34587.39808387,36419.0,33367.0,35614.0,214511362.6611355,6023.23138825
2303,2021-05-31 00:00:00,BTC/USD,35609.0,37533.0,34160.0,37280.0,222772753.5550288,5975.66399021
2304,2021-06-01 00:00:00,BTC/USD,37279.80893714,37888.0,35659.0,36673.0,193825965.8944964,5285.24979943
2305,2021-06-02 00:00:00,BTC/USD,36673.0,38222.0,35933.0,37577.0,149231914.6582686,3971.3631918
2306,2021-06-03 00:00:00,BTC/USD,37582.37086374,39482.0,37179.0,39226.0,225738828.24572664,5754.82660087
2307,2021-06-04 00:00:00,BTC/USD,39225.5146501,39275.0,35586.0,36844.0,218507185.179218,5930.6043095
2308,2021-06-05 00:00:00,BTC/USD,36844.0,37924.0,34822.56648447,35535.0,234088827.94747877,6587.55671725
2309,2021-06-06 00:00:00,BTC/USD,35542.0,36475.0,35218.0,35780.0,232981836.6362288,6511.51024696
2310,2021-06-07 00:00:00,BTC/USD,35781.0,36784.0,33338.0,33572.0,334662054.26485527,9968.48725917
